ID,Title,Tags,Score,Solved,Accepted,Link
1648F,Two Avenues,"data structures, dfs and similar, graphs",3500,33,0,https://codeforces.com/problemset/problem/1648/F
1648E,Air Reform,"data structures, dfs and similar, divide and conquer, dsu, graphs, implementation, trees",3200,184,0,https://codeforces.com/problemset/problem/1648/E
1648D,Serious Business,"data structures, divide and conquer, dp, implementation, shortest paths",2800,536,0,https://codeforces.com/problemset/problem/1648/D
1648C,Tyler and Strings,"combinatorics, data structures, implementation",1900,2138,0,https://codeforces.com/problemset/problem/1648/C
1648B,Integral Array,"brute force, constructive algorithms, data structures, math",1800,4519,0,https://codeforces.com/problemset/problem/1648/B
1648A,Weird Sum,"combinatorics, data structures, geometry, math, matrices, sortings",1400,8448,0,https://codeforces.com/problemset/problem/1648/A
1647F,Madoka and Laziness,"dp, greedy",3100,226,0,https://codeforces.com/problemset/problem/1647/F
1647E,Madoka and the Sixth-graders,"data structures, dfs and similar, greedy",2500,704,0,https://codeforces.com/problemset/problem/1647/E
1647D,Madoka and the Best School in Russia,"constructive algorithms, dp, math, number theory",1900,3922,0,https://codeforces.com/problemset/problem/1647/D
1647C,Madoka and Childish Pranks,"constructive algorithms, greedy",1300,9934,0,https://codeforces.com/problemset/problem/1647/C
1647B,Madoka and the Elegant Gift,"brute force, constructive algorithms, graphs, implementation",1200,12337,0,https://codeforces.com/problemset/problem/1647/B
1647A,Madoka and Math Dad,"implementation, math",800,19499,0,https://codeforces.com/problemset/problem/1647/A
1646F,Playing Around the Table,"constructive algorithms, greedy, implementation",2900,230,0,https://codeforces.com/problemset/problem/1646/F
1646E,Power Board,"brute force, dp, math, number theory",2200,1603,0,https://codeforces.com/problemset/problem/1646/E
1646D,Weight the Tree,"constructive algorithms, dfs and similar, dp, implementation, trees",2000,2372,0,https://codeforces.com/problemset/problem/1646/D
1646C,Factorials and Powers of Two,"bitmasks, brute force, constructive algorithms, dp, math",1500,9090,0,https://codeforces.com/problemset/problem/1646/C
1646B,Quality vs Quantity,"brute force, constructive algorithms, greedy, sortings, two pointers",800,17078,0,https://codeforces.com/problemset/problem/1646/B
1646A,Square Counting,math,800,20316,0,https://codeforces.com/problemset/problem/1646/A
1644F,Basis,"combinatorics, fft, math, number theory",2900,226,0,https://codeforces.com/problemset/problem/1644/F
1644E,Expand the Path,"brute force, combinatorics, data structures, implementation, math",1900,2273,0,https://codeforces.com/problemset/problem/1644/E
1644D,Cross Coloring,"data structures, implementation, math",1700,5372,0,https://codeforces.com/problemset/problem/1644/D
1644C,Increase Subarray Sums,"brute force, dp, greedy, implementation",1400,10137,0,https://codeforces.com/problemset/problem/1644/C
1644B,Anti-Fibonacci Permutation,"brute force, constructive algorithms, implementation",800,18418,0,https://codeforces.com/problemset/problem/1644/B
